activity_bin,n,mae,rmse,bias
low,2.0,1.1491786124395489,1.1521337953185522,-0.0824669571807064
mid,2.0,3.582967632756173,3.6353641161745016,-3.582967632756173
high,1.0,28.57808455565143,28.57808455565143,-28.57808455565143
